"START","20047","20047","20047","8:0:0"
"dynamic initial tour","19743","20039","19743","8:5:0"
"dynamic initial tour","19213","19807","19213","8:10:0"
"dynamic initial tour","18847","19745","18847","8:15:0"
"dynamic initial tour","18541","19739","18541","8:20:0"
"dynamic initial tour","18181","19675","18181","8:25:0"
"dynamic initial tour","17778","19573","17778","8:30:0"
"dynamic initial tour","17276","19369","17276","8:35:0"
"START","20047","20047","20047","8:0:0"
"dynamic initial tour","20047","20047","20047","8:0:0"
